quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z,pitch_rad
-0.085531,0.088849,-0.198543,0.972302,-0.036446,-0.000411,-0.016414,-0.002545,0.003579,-0.00193,0.138812,0.201605,-0.969581,0.13926266728550685
-0.085697,0.088879,-0.198607,0.972271,-0.031744,0.000198,-0.012226,-0.004476,0.002401,0.000978,0.13879,0.201945,-0.969513,0.13923837426643654
-0.085957,0.08874,-0.198782,0.972225,-0.00663,-0.007797,-0.010259,-0.005798,0.00097,-0.000792,0.138377,0.202419,-0.969473,0.13882254585368337
-0.086,0.0887,-0.198842,0.972213,-0.004733,-0.003041,-0.007653,-0.004893,0.002834,-0.002458,0.13827,0.202495,-0.969473,0.13871418211306974
-0.086043,0.08866,-0.198902,0.972201,-0.002837,0.001715,-0.005047,-0.003987,0.004697,-0.004124,0.138163,0.202571,-0.969472,0.13860581153049922
-0.086221,0.088639,-0.198943,0.972178,-0.013213,-0.000825,0.001726,-0.004889,0.004546,-0.002376,0.138039,0.202913,-0.969418,0.13848183453088092
-0.086425,0.08866,-0.198956,0.972156,-0.011449,0.004828,-0.00826,-0.001204,-0.000751,-0.002849,0.137993,0.203317,-0.96934,0.1384349000068378
-0.086622,0.088757,-0.198995,0.972121,-0.013677,0.00371,-0.007602,-0.002107,-0.000534,-0.001499,0.138091,0.203738,-0.969238,0.13853308003652318
-0.086818,0.088854,-0.199034,0.972087,-0.015905,0.002592,-0.006943,-0.003009,-0.000316,-0.000148,0.138188,0.20416,-0.969135,0.13863179802244197
-0.087015,0.088951,-0.199073,0.972053,-0.018133,0.001475,-0.006285,-0.003912,-9.8e-05,0.001202,0.138286,0.204581,-0.969032,0.13873007116717115
-0.087177,0.08899,-0.199096,0.97203,-0.021649,0.004803,-0.005378,-0.001641,-0.000196,0.00071,0.138289,0.204912,-0.968962,0.13873331917342102
-0.087339,0.089029,-0.199118,0.972007,-0.025165,0.008132,-0.004471,0.00063,-0.000293,0.000217,0.138293,0.205242,-0.968892,0.13873672488241687
-0.087619,0.089201,-0.199205,0.971948,-0.019248,0.009775,-0.008168,0.000594,0.001141,-0.001251,0.138489,0.20586,-0.968732,0.13893573269526552
-0.087923,0.089296,-0.199328,0.971887,-0.020774,0.002709,-0.007531,0.000458,0.002728,0.00266,0.138521,0.2065,-0.968592,0.13896706499294342
-0.088072,0.089375,-0.199386,0.971854,-0.020793,0.002621,-0.007523,0.000905,0.003609,0.001764,0.138599,0.206826,-0.968511,0.1390458684191344
-0.088233,0.089419,-0.199409,0.971831,-0.025387,0.004882,-0.00762,0.002496,0.004065,-0.000384,0.138611,0.207157,-0.968439,0.13905914544002243
-0.088699,0.089542,-0.199502,0.971758,-0.032188,-0.000722,-0.007719,0.001765,0.005214,-2e-06,0.138635,0.208115,-0.96823,0.1390830260951498
-0.08888,0.089614,-0.199521,0.971731,-0.031803,0.000609,-0.007718,0.002387,0.00424,0.000896,0.138695,0.208494,-0.968139,0.13914310331076415
-0.089321,0.089649,-0.199593,0.971672,-0.019347,-0.006636,-0.009634,0.004437,0.002156,0.002672,0.138564,0.209368,-0.967969,0.1390104250653152
-0.089469,0.089606,-0.199685,0.971644,-0.005914,-0.007608,-0.00921,0.002451,0.001503,0.001978,0.138399,0.20965,-0.967932,0.13884470481135372
-0.089501,0.089513,-0.199769,0.971632,0.004417,-0.011417,-0.008104,0.002672,0.002224,0.001386,0.138189,0.209688,-0.967954,0.13863197060015592
-0.089463,0.089418,-0.199851,0.971628,0.009597,-0.008018,-0.004365,0.00207,0.001863,0.000233,0.138003,0.20959,-0.968002,0.1384453678200595
-0.089368,0.089355,-0.199901,0.971632,0.012871,-0.007954,-0.005168,0.001014,0.001112,-0.000319,0.137911,0.20939,-0.968058,0.13835179772282832
-0.089255,0.089289,-0.199972,0.971634,0.012896,-0.003103,-0.003383,0.000723,0.000774,-0.001363,0.137815,0.209158,-0.968122,0.13825548319093522
-0.089146,0.089264,-0.200039,0.971632,0.010945,-0.000529,-0.004705,0.000447,-0.000632,0.000381,0.137798,0.208946,-0.96817,0.13823802621212597
-0.089055,0.089245,-0.200127,0.971624,0.009738,-0.003772,-0.011019,0.000719,-0.001311,-0.00141,0.13778,0.208777,-0.968209,0.1382202400417305
-0.089035,0.089219,-0.200241,0.971605,0.000428,0.001424,-0.008395,0.001391,0.001327,-0.003447,0.137715,0.208746,-0.968225,0.13815339314603772
-0.089091,0.089201,-0.200305,0.971588,-0.00457,-0.00582,-0.002856,-0.000888,0.000556,-0.000301,0.137642,0.208854,-0.968212,0.13808086116875012
-0.089162,0.089092,-0.200348,0.971583,-0.006204,-0.017621,-0.005284,-0.002536,6.1e-05,0.001255,0.137394,0.208956,-0.968225,0.13782966628351156
-0.089274,0.088887,-0.200356,0.97159,-0.008584,-0.020794,-0.000617,-0.001364,-0.000293,-0.001678,0.13695,0.209093,-0.968259,0.13738202387817372
-0.089428,0.088872,-0.200294,0.97159,-0.020697,0.005627,0.009192,0.002364,0.002477,-0.008862,0.136871,0.209376,-0.968209,0.13730149731866972
-0.089657,0.08907,-0.200144,0.971582,-0.031105,0.020511,0.017903,0.001711,0.002481,-0.005119,0.137188,0.209872,-0.968056,0.1376230172070778
-0.089912,0.089321,-0.199982,0.971568,-0.030658,0.018616,0.009577,-0.001111,-0.000218,-0.001355,0.137602,0.210437,-0.967875,0.13803925590997992
-0.090143,0.089451,-0.199967,0.971538,-0.02133,0.004169,-0.006963,-0.001419,-0.001982,0.001552,0.137759,0.21093,-0.967745,0.13819832398054369
-0.090342,0.089507,-0.200071,0.971493,-0.021357,0.003322,-0.012496,0.00124,0.001301,0.00163,0.137761,0.211348,-0.967654,0.13820072550152124
-0.090565,0.089586,-0.200182,0.971442,-0.019156,0.007597,-0.011113,0.001086,0.00253,0.001052,0.137797,0.211824,-0.967544,0.13823608373782273
