quat_x,quat_y,quat_z,quat_w,rot_x,rot_y,rot_z,acc_x,acc_y,acc_z,grav_x,grav_y,grav_z
-0.046223,0.06801,-0.022897,0.99635,0.011347,0.006821,-0.000668,-0.003138,0.003718,-0.002843,0.133406,0.095223,-0.986476
-0.046101,0.068073,-0.022908,0.996351,0.019399,0.011875,0.002733,-0.003502,0.004323,-0.003585,0.133538,0.094984,-0.986481
-0.045979,0.068137,-0.022918,0.996352,0.027452,0.016929,0.006133,-0.003866,0.004928,-0.004327,0.13367,0.094745,-0.986487
-0.045416,0.068392,-0.022953,0.99636,0.035228,0.01591,-0.00065,-0.00011,0.006831,-0.002889,0.134201,0.093642,-0.98652
-0.044996,0.068624,-0.023048,0.996361,0.016207,0.015017,-0.003891,0.000603,0.010347,-0.001482,0.134675,0.092827,-0.986532
-0.044933,0.068758,-0.023098,0.996353,0.004407,0.014959,-0.001865,-0.001747,0.012128,-0.000973,0.13494,0.092715,-0.986507
-0.045165,0.069002,-0.023078,0.996326,-0.023314,0.009739,0.00317,0.001148,0.014869,0.00217,0.135412,0.093184,-0.986398
-0.045479,0.069127,-0.022992,0.996305,-0.033346,0.016143,0.011129,0.002668,0.010338,0.000454,0.135653,0.093802,-0.986306
-0.045858,0.069386,-0.02293,0.996271,-0.031742,0.020494,0.002966,0.004077,0.008115,0.000533,0.136151,0.094557,-0.986165
-0.046237,0.069644,-0.022868,0.996237,-0.030138,0.024845,-0.005198,0.005487,0.005891,0.000612,0.136649,0.095312,-0.986024
-0.046626,0.069904,-0.022916,0.9962,-0.042619,0.032326,-0.006904,0.006272,0.009933,0.001599,0.137139,0.096102,-0.985879
-0.047099,0.070212,-0.022967,0.996155,-0.042269,0.02004,-0.011728,0.00463,0.008417,0.007806,0.137721,0.097061,-0.985704
-0.047535,0.070364,-0.023125,0.99612,-0.042501,0.010684,-0.014636,0.006673,0.010256,0.004238,0.137983,0.097955,-0.985579
-0.048001,0.070495,-0.023271,0.996085,-0.046781,0.011425,-0.014861,0.006676,0.010754,0.001214,0.138203,0.098907,-0.985453
